1946,3,The River Road,Frances Parkinson Keyes
1945,3,The Black Rose,Thomas B. Costain
1944,3,A Tree Grows in Brooklyn,Betty Smith
1943,3,So Little Time,John P. Marquand
1942,3,Dragon Seed,Pearl S. Buck
1941,3,This Above All,Eric Knight
1940,3,Mrs. Miniver,Jan Struther
1939,3,Rebecca,Daphne du Maurier
1938,3,"My Son, My Son! ",Howard Spring
1937,3,The Citadel,A. J. Cronin
1936,3,Sparkenbroke,Charles Langbridge Morgan
1935,3,Of Time and the River,Thomas Wolfe
1934,3,So Red the Rose,Stark Young
1933,3,Ann Vickers,Sinclair Lewis
1932,3,Sons,Pearl S. Buck
1931,3,A White Bird Flying,Bess Streeter Aldrich
1930,3,The Woman of Andros,Thornton Wilder
1929,3,Dark Hester,Anne Douglas Sedgwick
1928,3,Swan Song,John Galsworthy
1927,3,Doomsday,Warwick Deeping
1926,3,Sorrell and Son,Warwick Deeping
1925,3,The Keeper of the Bees,Gene Stratton-Porter
1924,3,The Little French Girl,Anne Douglas Sedgwick
1923,3,The Enchanted April,Elizabeth von Arnim
1922,3,Gentle Julia,Booth Tarkington
1921,3,The Mysterious Rider,Zane Grey
1920,3,The Re-Creation of Brian Kent,Harold Bell Wright
1919,3,The Desert of Wheat,Zane Grey
1918,3,The Amazing Interlude,Mary Roberts Rinehart
1917,3,The Red Planet,William J. Locke
1916,3,Just David,Eleanor H. Porter
1915,3,Michael O'Halloran,Gene Stratton Porter
1914,3,The Inside of the Cup,Winston Churchill
1913,3,Laddie,Gene Stratton Porter
1912,3,Their Yesterdays,Harold Bell Wright
1911,3,The Winning of Barbara Worth,Harold Bell Wright
1910,3,The Wild Olive,Anonymous (Basil King)
1909,3,The Silver Horde,Rex Beach
1908,3,The Trail of the Lonesome Pine ,John Fox Jr.
1907,3,The Port of Missing Men,Meredith Nicholson
1906,3,The Fighting Chance,Robert W. Chambers
1905,3,The Garden of Allah,Robert Hichens
1904,3,The Masquerader,Katherine Cecil Thurston
1903,3,The Pit,Frank Norris
1902,3,Dorothy Vernon of Haddon Hall,Charles Major
1901,3,The Helmet of Navarre,Bertha Runkle
1900,3,Unleavened Bread,Robert Grant
1899,3,Richard Carvel,Winston Churchill
1898,3,Penelope's Progress,Kate Douglas Wiggin
1897,3,Soldiers of Fortune,Richard Harding Davis
1896,3,The Seats of the Mighty,Gilbert Parker
1895,3,The Adventures of Captain Horn,Frank R. Stockton
2014,4,Insurgent,Veronica Roth
2013,4,Proof of Heaven,Eben Alexander
2012,4,Fifty Shades Freed,E.L. James
2011,4,Smokin' Seventeen,Janet Evanovich
2010,4,Safe Haven,Nicholas Sparks
2009,4,"I, Alex Cross ",James Patterson
2008,4,Cross Country,James Patterson
2007,4,The Choice,Nicholas Sparks
2006,4,Next,Michael Crichton
2005,4,At First Sight,Nicholas Sparks
2004,4,Glorious Appearing,Jerry B. Jenkins and Tim LaHaye
2003,4,The King of Torts,John Grisham
2002,4,The Lovely Bones,Alice Sebold
2001,4,Dreamcatcher,Stephen King
2000,4,The Indwelling: The Beast Takes Possession,Jerry B. Jenkins and Tim LaHaye
1999,4,"Star Wars: Episode 1, The Phantom Menace ",Terry Brooks
1998,4,A Man in Full,Tom Wolfe
1997,4,The Ranch,Danielle Steel
1996,4,Airframe,Michael Crichton
1995,4,The Christmas Box,Richard Paul Evans
1994,4,The Gift,Danielle Steel
1993,4,Without Remorse,Tom Clancy
1992,4,Mixed Blessings,Danielle Steel
1991,4,No Greater Love,Danielle Steel
1990,4,Memories of Midnight,Sidney Sheldon
1989,4,Star,Danielle Steel
1988,4,The Icarus Agenda,Robert Ludlum
1987,4,Misery,Stephen King
1986,4,The Bourne Supremacy,Robert Ludlum
1985,4,If Tomorrow Comes,Sidney Sheldon
1984,4,Love and War,John Jakes
1983,4,The Little Drummer Girl,John le Carré
1982,4,Master of the Game,Sidney Sheldon
1981,4,An Indecent Obsession,Colleen McCullough
1980,4,Princess Daisy,Judith Krantz
1979,4,Memories of Another Day,Harold Robbins
1978,4,Bloodline,Sidney Sheldon
1977,4,The Honourable Schoolboy,John le Carré
1976,4,Storm Warning,Jack Higgins
1975,4,Looking for Mr. Goodbar,Judith Rossner
1974,4,"Tinker, Tailor, Soldier, Spy ",John le Carré
1973,4,The Odessa File,Frederick Forsyth
1972,4,The Day of the Jackal,Frederick Forsyth
1971,4,The Day of the Jackal,Frederick Forsyth
1970,4,The Crystal Cave,Mary Stewart
1969,4,The Inheritors,Harold Robbins
1968,4,A Small Town in Germany,John le Carré
1967,4,Topaz,Leon Uris
1966,4,Capable of Honor,Allen Drury
1965,4,The Looking Glass War,John le Carré
1964,4,Armageddon,Leon Uris
1963,4,Caravans,James A. Michener
1962,4,Youngblood Hawke,Herman Wouk
1961,4,The Carpetbaggers,Harold Robbins
1960,4,The Chapman Report,Irving Wallace
1959,4,Advise and Consent,Allen Drury
1958,4,Around the World with Auntie Mame,Patrick Dennis
1957,4,"Rally 'Round the Flag, Boys! ",Max Shulman
1956,4,Auntie Mame,Patrick Dennis
1955,4,Bonjour Tristesse,Françoise Sagan
1954,4,The Royal Box,Frances Parkinson Keyes
1953,4,Battle Cry,Leon M. Uris
1952,4,My Cousin Rachel,Daphne du Maurier
1951,4,The Cardinal,Henry Morton Robinson
1950,4,The Wall,John Hersey
1949,4,A Rage to Live,John O'Hara
1948,4,The Bishop's Mantle,Agnes Sligh Turnbull
1947,4,Lydia Bailey,Kenneth Roberts
1946,4,The Miracle of the Bells,Russell Janney
1945,4,The White Tower,James Ramsey Ullman
1944,4,Forever Amber,Kathleen Winsor
1943,4,A Tree Grows in Brooklyn,Betty Smith
1942,4,And Now Tomorrow,Rachel Field
1941,4,The Sun Is My Undoing,Marguerite Steen
1940,4,For Whom the Bell Tolls,Ernest Hemingway
1939,4,Wickford Point,John P. Marquand
1938,4,Rebecca,Daphne du Maurier
1937,4,And So—Victoria,Vaughan Wilkins
1936,4,Drums Along the Mohawk,Walter D. Edmonds
1935,4,Time Out of Mind,Rachel Field
1934,4,Goodbye Mr. Chips, James Hilton 
1933,4,Magnificent Obsession,Lloyd C. Douglas
1932,4,Magnolia Street,Louis Golding
1931,4,Grand Hotel,Vicki Baum
1930,4,Years of Grace,Margaret Ayer Barnes
1929,4,The Bishop Murder Case,S. S. Van Dine
1928,4,The Greene Murder Case,S. S. Van Dine
1927,4,Sorrell and Son,Warwick Deeping
1926,4,The Hounds of Spring,Sylvia Thompson
1925,4,Glorious Apollo,E. Barrington
1924,4,The Heirs Apparent,Philip Gibbs
1923,4,Babbitt,Sinclair Lewis
1922,4,The Head of the House of Coombe,Frances Hodgson Burnett
1921,4,The Age of Innocence,Edith Wharton
1920,4,The River's End,James Oliver Curwood
1919,4,Dangerous Days,Mary Roberts Rinehart
1918,4,Dere Mable,Edward Streeter
1917,4,The Road to Understanding,Eleanor H. Porter
1916,4,Mr. Britling Sees It Through,H. G. Wells
1915,4,Pollyanna Grows Up,Eleanor H. Porter
1914,4,The Salamander,Owen Johnson
1913,4,The Judgment House,Gilbert Parker
1912,4,The Melting of Molly,Maria Thompson Davies
1911,4,Queed,Henry Sydnor Harrison
1910,4,Max,Katherine Cecil Thurston
1909,4,The Man in Lower Ten,Mary Roberts Rinehart
1908,4,The Lure of the Mask,Harold MacGrath
1907,4,The Shuttle,Frances Hodgson Burnett
1906,4,The House of a Thousand Candles,Meredith Nicholson
1905,4,The Clansman,Thomas Dixon Jr
1904,4,In the Bishop's Carriage,Miriam Michelson
1903,4,Lovey Mary,Alice Hegan Rice
1902,4,The Mississippi Bubble,Emerson Hough
1901,4,The Right of Way,Gilbert Parker
1900,4,The Reign of Law,James Lane Allen
1899,4,The Day's Work,Rudyard Kipling
1898,4,Helbeck of Bannisdale,Mary Augusta Ward
1897,4,On the Face of the Waters,Flora Annie Steel
1896,4,A Singular Life,Elizabeth Stuart Phelps Ward
1895,4,The Manxman,Hall Caine
2014,5,Killing Patton,Bill O'Reilly and Martin Dugard
2013,5,The House of Hades,Rick Riordan
2012,5,Catching Fire,Suzanne Collins
2011,5,A Dance with Dragons,George R.R. Martin
2010,5,Dead or Alive,Tom Clancy
2009,5,The Last Song,Nicholas Sparks
2008,5,The Lucky One,Nicholas Sparks
2007,5,Lean Mean Thirteen,Janet Evanovich
2006,5,Hannibal Rising,Thomas Harris
2005,5,Predator,Patricia Cornwell
2004,5,Angels & Demons,Dan Brown
2003,5,Bleachers,John Grisham
2002,5,Prey,Michael Crichton
2001,5,The Corrections,Jonathan Franzen
2000,5,The Last Precinct,Patricia Cornwell
1999,5,Timeline,Michael Crichton
1998,5,Mirror Image,Danielle Steel
1997,5,Special Delivery,Danielle Steel
1996,5,The Regulators,Richard Bachman (Stephen King)
1995,5,Lightning,Danielle Steel
1994,5,Insomnia,Stephen King
1993,5,Nightmares & Dreamscapes,Stephen King
1992,5,Jewels,Danielle Steel
1991,5,Heartbeat,Danielle Steel
1990,5,Message from Nam,Danielle Steel
1989,5,Caribbean,James A. Michener
1988,5,Alaska,James A. Michener
1987,5,Leaving Home,Garrison Keillor
1986,5,Hollywood Husbands,Jackie Collins
1985,5,Skeleton Crew,Stephen King
1984,5,The Butter Battle Book,Dr. Seuss
1983,5,Christine,Stephen King
1982,5,Mistral's Daughter,Judith Krantz
1981,5,Gorky Park,Martin Cruz Smith
1980,5,Firestarter,Stephen King
1979,5,Jailbird,Kurt Vonnegut
1978,5,Scruples,Judith Krantz
1977,5,Oliver's Story,Erich Segal
1976,5,The Deep,Peter Benchley
1975,5,The Choirboys,Joseph Wambaugh
1974,5,Something Happened,Joseph Heller
1973,5,Burr,Gore Vidal
1972,5,The Word,Irving Wallace
1971,5,The Betsy,Harold Robbins
1970,5,Great Lion of God,Taylor Caldwell
1969,5,The Andromeda Strain,Michael Crichton
1968,5,Testimony of Two Men,Taylor Caldwell
1967,5,Christy,Catherine Marshall
1966,5,The Double Image,Helen MacInnes
1965,5,The Green Berets,Robin Moore
1964,5,The Man,Irving Wallace
1963,5,Elizabeth Appleton,John O'Hara
1962,5,Franny and Zooey,J.D. Salinger
1961,5,Tropic of Cancer,Henry Miller
1960,5,Ourselves to Know,John O'Hara
1959,5,Lady Chatterley's Lover,D. H. Lawrence
1958,5,From the Terrace,John O'Hara
1957,5,Blue Camellia,Frances Parkinson Keyes
1956,5,Eloise,Kay Thompson
1955,5,The Man in the Gray Flannel Suit,Sloan Wilson
1954,5,The Egyptian,Mika Waltari
1953,5,From Here to Eternity,James Jones
1952,5,Steamboat Gothic,Frances Parkinson Keyes
1951,5,A Woman Called Fancy,Frank Yer
1950,5,Star Money,Kathleen Winsor
1949,5,Point of No Return,John P. Marquand
1948,5,Tomorrow Will Be Better,Betty Smith
1947,5,The Vixens,Frank Yer
1946,5,The Hucksters ,Frederic Wakeman Sr
1945,5,Cass Timberlane,Sinclair Lewis
1944,5,The Razor's Edge,W. Somerset Maugham
1943,5,The Human Comedy,William Saroyan
1942,5,Drivin' Woman,Elizabeth Pickett
1941,5,For Whom the Bell Tolls,Ernest Hemingway
1940,5,The Nazarene,Sholem Asch
1939,5,Escape,Ethel Vance
1938,5,Northwest Passage (novel),Kenneth Roberts
1937,5,Drums Along the Mohawk,Walter D. Edmonds
1936,5,It Can't Happen Here,Sinclair Lewis
1935,5,Goodbye Mr. Chips, James Hilton 
1934,5,Within This Present,Margaret Ayer Barnes
1933,5,One More River,John Galsworthy
1932,5,The Sheltered Life,Ellen Glasgow
1931,5,Years of Grace,Margaret Ayer Barnes
1930,5,Angel Pavement,J. B. Priestley
1929,5,Roper's Row,Warwick Deeping
1928,5,Bad Girl,Viña Delmar
1927,5,Jalna,Mazo de la Roche
1926,5,Beau Sabreur,P. C. Wren
1925,5,The Green Hat,Michael Arlen
1924,5,A Gentleman of Courage,James Oliver Curwood
1923,5,The Dim Lantern,Temple Bailey
1922,5,Simon Called Peter,Robert Keable
1921,5,The Valley of Silent Men,James Oliver Curwood
1920,5,A Man for the Ages,Irving Bacheller
1919,5,The Sky Pilot in No Man's Land,Ralph Connor
1918,5,"Oh, Money! Money! ",Eleanor H. Porter
1917,5,Wildfire,Zane Grey
1916,5,Life and Gabriella,Ellen Glasgow
1915,5,K,Mary Roberts Rinehart
1914,5,The Fortunate Youth,William J. Locke
1913,5,Heart of the Hills ,John Fox Jr
1912,5,A Hoosier Chronicle,Meredith Nicholson
1911,5,The Harvester,Gene Stratton Porter
1910,5,The Kingdom of Slender Swords,Hallie Erminie Rives
1909,5,The Trail of the Lonesome Pine ,John Fox Jr
1908,5,The Shuttle,Frances Hodgson Burnett
1907,5,The Brass Bowl,Louis Joseph Vance
1906,5,Jane Cable,George Barr McCutcheon
1905,5,Nedra,George Barr McCutcheon
1904,5,Sir Mortimer,Mary Johnston
1903,5,The Virginian,Owen Wister
1902,5,Audrey,Mary Johnston
1901,5,Eben Holden,Irving Bacheller
1900,5,Eben Holden,Irving Bacheller
1899,5,Red Rock,Thomas Nelson Page
1898,5,Quo Vadis,Henryk Sienkiewicz
1897,5,Phroso,Anthony Hope
1896,5,The Damnation of Theron Ware,Harold Frederic
1895,5,The Princess Aline,Richard Harding Davis
2014,6,Allegiant,Veronica Roth
2013,6,Divergent,Veronica Roth
2012,6,Mockingjay,Suzanne Collins
2011,6,Explosive Eighteen,Janet Evanovich
2010,6,Sizzling Sixteen,Janet Evanovich
2009,6,Ford County,John Grisham
2008,6,Fearless Fourteen,Janet Evanovich
2007,6,Plum Lovin',Janet Evanovich
2006,6,Lisey's Story,Stephen King
2005,6,True Believer,Nicholas Sparks
2004,6,State of Fear,Michael Crichton
2003,6,Armageddon,Tim LaHaye and Jerry B. Jenkins
2002,6,Skipping Christmas,John Grisham
2001,6,Black House,Stephen King and Peter Straub
2000,6,Journey (book),Danielle Steel
1999,6,Hearts in Atlantis,Stephen King
1998,6,The Long Road Home,Danielle Steel
1997,6,Unnatural Exposure,Patricia Cornwell
1996,6,Malice,Danielle Steel
1995,6,The Celestine Prophecy,James Redfield
1994,6,Politically Correct Bedtime Stories,James Finn Garner
1993,6,Vanished,Danielle Steel
